Id,BinCenters,BinCount_GFP_MEFL,BinCount_RFP_MEFL
,35480,4604,1
,44670,4277,0
,56230,3811,0
,70790,2962,0
,89130,2249,0
,112200,1311,0
,141300,663,0
,177800,315,0
,223900,150,0
,281800,52,0
,354800,14,0
,446700,1,0
,562300,1,0
,707900,0,0
,891300,0,0
Ara   50 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,199
,7.079,0,383
,8.913,0,410
,11.22,0,774
,14.13,0,729
,17.78,6,1054
,22.39,34,1203
,28.18,30,1515
,35.48,36,1747
,44.67,41,2043
,56.23,59,2326
,70.79,82,2640
,89.13,98,2968
,112.2,142,3106
,141.3,172,3077
,177.8,190,3174
,223.9,271,3297
,281.8,292,3212
,354.8,405,3403
,446.7,514,3362
,562.3,638,3372
,707.9,792,3234
,891.3,1052,2850
,1122,1241,2442
,1413,1566,1860
,1778,1948,1127
,2239,2391,583
,2818,2867,254
,3548,3425,115
,4467,3918,49
,5623,4257,22
,7079,4358,12
,8913,4654,4
,11220,4883,2
,14130,4823,2
,17780,4295,0
,22390,3610,1
,28180,2864,1
,35480,2315,0
,44670,1616,0
,56230,1159,0
,70790,724,0
,89130,464,0
,112200,262,0
,141300,124,0
,177800,42,0
,223900,19,0
,281800,7,0
,354800,3,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,214
,7.079,0,384
,8.913,0,422
,11.22,0,725
,14.13,0,784
,17.78,4,1084
,22.39,21,1259
,28.18,18,1576
,35.48,34,1782
,44.67,48,2267
,56.23,47,2465
,70.79,63,2782
,89.13,94,3070
,112.2,108,3108
,141.3,115,3182
,177.8,150,3251
,223.9,221,3315
,281.8,261,3498
,354.8,305,3599
,446.7,421,3511
,562.3,542,3381
,707.9,734,3199
,891.3,894,2693
,1122,1136,2266
,1413,1565,1627
,1778,1992,912
,2239,2545,509
,2818,3234,237
,3548,3867,91
,4467,4539,33
,5623,4921,21
,7079,5076,7
,8913,5046,8
,11220,4899,1
,14130,4692,1
,17780,4072,1
,22390,3394,0
,28180,2721,1
,35480,2001,0
,44670,1488,1
,56230,1082,0
,70790,652,0
,89130,457,0
,112200,248,0
,141300,107,0
,177800,45,0
,223900,20,0
,281800,8,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,1,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
